sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 16, 2026 09:48:25

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=8)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=7)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=6)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_999a6bd87d6240e6b5110248e73f14b9(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_999a6bd87d6240e6b5110248e73f14b9(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_999a6bd87d6240e6b5110248e73f14b9(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
